from,to,weight,season
mainz,1,50,2021
hannover,2,40,2020
truiden,3,17,2020
arsenal,5,8,2020
chelsea,6,4,2020
paris,7,,2019
monaco,8,18,2021
moedling,9,18,2019
wolfsburg,10,,2018
augsburg,11,5,2018
parisfc,14,80,2019
freiburg,15,13,2020
kiel,16,8,2019
wolfsburg,17,,2021
lissabon,18,5,2022
boldklub,19,45,2021
sandhausen,20,30,2019
paderborn,22,25,2021
anderlecht,23,18,2017
zagreb,24,60,2018
vfb,25,,2020
koeln,28,,2019
bielefeld,30,25,2018
cordoba,31,17,2019
turin,32,15,2021
nuernberg,33,3,2019
istanbul,34,,2021
iwata,37,1,2021
vfb,42,,2021
vfb,44,,2021
vfb,50,,2022
1,Deutschland,,
2,Deutschland,,
3,Japan,,
5,Griechenland,,
6,England,,
7,Frankreich,,
8,Frankreich,,
9,Oesterreich,,
10,Deutschland,,
11,Deutschland,,
14,DRKongo,,
15,Deutschland,,
16,Deutschland,,
17,Aegypten,,
18,Portugal,,
19,Daenemark,,
20,Deutschland,,
22,Deutschland,,
23,Belgien,,
24,Kroatien,,
25,Deutschland,,
28,Daenemark,,
30,Deutschland,,
31,Deutschland,,
32,Frankreich,,
33,Deutschland,,
34,Tuerkei,,
37,Japan,,
42,Deutschland,,
44,Niederlande,,
50,Frankreich,,
