ID,name,country,type
1,Florian Mueller,Deutschland,1
33,Fabian Bredlow,Deutschland,1
42,Florian Schock,Deutschland,1
5,Konstantinos Mavropanos,Griechenland,1
2,Waldemar Anton,Deutschland,1
37,Hiroki Ito,Japan,1
24,Borna Sosa,Kroatien,1
15,Pascal Stenzel,Deutschland,1
23,Orel Mangala,Belgien,1
3,Wataru Endo,Japan,1
16,Atakan Karazor,Deutschland,1
32,Naouirou Ahamada,Frankreich,1
6,Clinton Mola,England,1
8,Enzo Millot,Frankreich,1
28,Nikolas Nartey,Daenemark,1
14,Silas Katompa Mvumpa,DR Kongo,1
30,Roberto Massimo,Deutschland,1
11,Erik Thommy,Deutschland,1
20,Philipp Foerster,Deutschland,1
31,Mateo Klimowicz,Deutschland,1
25,Lilian Egloff,Deutschland,1
34,Oemer Beyaz,Tuerkei,1
10,Daniel Didavi,Deutschland,1
7,Tanguy Coulibaly,Frankreich,1
22,Chris Fuehrich,Deutschland,1
9,Sasa Kalajdzic,Oesterreich,1
18,Tiago Tomas,Portugal,1
17,Omar Marmoush,Aegypten,1
19,Wahid Faghir,Daenemark,1
50,Alexis Tibidi,Frankreich,1
44,Mohamed Sankoh,Niederlande,1
mainz,Mainz 05,Deutschland,2
hannover,Hannover 96,Deutschland,2
truiden,VV St Truiden,Belgien,2
arsenal,FC Arsenal ,England,2
chelsea,FC Chelsea,England,2
paris,Paris Saint Germain,Frankreich,2
monaco,AS Monaco FC,Frankreich,2
moedling,FC Admira Wacker Moedling,Oesterreich,2
wolfsburg,VfL Wolfsburg,Deutschland,2
augsburg,FC Augsburg,Deutschland,2
parisfc,Paris FC,Frankreich,2
freiburg,SC Freiburg,Deutschland,2
kiel,Holstein Kiel,Deutschland,2
lissabon,Sporting Lissabon,Portugal,2
boldklub,Vejle Boldklub,Daenemark,2
sandhausen,SV Sandhausen,Deutschland,2
paderborn,SC Paderborn 07,Deutschland,2
anderlecht,RSC Anderlecht,Belgien,2
zagreb,Dinamo Zagreb,Kroatien,2
vfb,VfB Stuttgart,Deutschland,2
koeln,FC Koeln,Deutschland,2
bielefeld,Arminia Bielefeld,Deutschland,2
cordoba,Instituto AC Cordoba,Argentinien,2
turin,Juventus Turin,Italien,2
nuernberg,FC Nuernberg,Deutschland,2
istanbul,Fenerbahce Instanbul,Tuerkei,2
iwata,Jubilo Iwata,Japan,2
Deutschland,,,
Japan,,,
Griechenland,,,
England,,,
Frankreich,,,
Oesterreich,,,
DRKongo,,,
Aegypten,,,
Portugal,,,
Daenemark,,,
Belgien,,,
Kroatien,,,
Tuerkei,,,
Niederlande,,,
